Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
1998,12/08/1998,ES-SWN-0021,New York State Capitol Building - Lighting,Capital District,F - Capital,ALBANY,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Office of General Services,Energy Efficiency,"County, Municipal, & State Government Offices",1,1068513,160596,365.64,1657349,0,0,0,,0,3976.747,222.4776,0,NEW YORK STATE CAPITOL,,Albany,NY,12224,"Installation of energy efficient lighting, including high-intensity exterior floodlights that illuminate the Capitol's late-19th century façade and comprehensive lighting upgrade in nearly all interior areas of the building. More than 5,000 fixtures, more efficient light bulbs and improved ballasts and reflectors now provide Capitol offices and hallways with better illumination while consuming less energy."
1998,12/04/1998,ES-LTN-0002,PS-146Q (Howard Beach School),New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,75433,11657,34.3,113934,0,0,0,,0,279.5724,32.92397,0,98-01 159TH AVENUE,,JAMAICA,NY,11414,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,12/03/1998,PHN53P,NYCHA - BELMONT SUTTER,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,29202,2989,5,40100,0,0,0,,0,98.76035,11.58786,0,812 ASHFORD STREET,,KINGS,NY,11207,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,12/03/1998,PHN54P,NYCHA - BUSH TERMINAL VI,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,35426,4039,6.78,54300,0,0,0,,0,133.4379,15.69129,0,,,,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,12/03/1998,PHN55P,NYCHA - UNIVERSITY AVE. REHAB,New York City,J - New York City,BRONX,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,15941,1817,3,24435,0,0,0,,0,60.00345,7.06108,0,1665 ANDREWS AV 1B W.TRMNT REHAB I,,BRONX,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,12/02/1998,PHN52P,NYCHA - U.P.A.C.A. SITE 6,New York City,J - New York City,NEW YORK,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,60389,6179,10.3,83079,0,0,0,,0,204.3224,24.00767,0,,,,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,12/01/1998,ES-LIN-0002,SACHEM CSD PHASE II - EMS,Long Island,K - Long Island,SUFFOLK,Southeastern,"SACHEM, CSD",,Energy Efficiency,"Schools, Elementary and Secondary",17,9379792,461071,0,2369911,382800,0,0,,0,12427.85,3307.963,0,245 Union Avenue,,Holbrook,NY,11755,"Long Island schools were provided with financing and installation of energy-efficient lighting, as well as motors, energy management systems, sensors, and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.  This program was funded through NYPA financing and utility rebates."
1998,11/30/1998,PHN51P,NYCHA - WEST TREMONT REHAB GRP 1,New York City,J - New York City,BRONX,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,38882,3998,6.7,53757,0,0,0,,0,132.0776,15.53438,0,162 WEST 174TH STREET,,BRONX,NY,10453,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,11/25/1998,PHN50P,NYCHA - BORINQUEN,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,354826,36468,61.2,490329,0,0,0,,0,1205.362,141.6923,0,130 HUMBOLDT STREET,,KINGS,NY,11206,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,11/25/1998,ES-LTN-0027,NYCT LED Slide Panel Upgrade,New York City,J - New York City,KINGS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency,"Subway Platform, Track Signals and Tunnel Lighting",1,287024,210329,93.1,858585,0,0,0,,0,2079.979,248.1087,0,NYCTA,,BROOKLYN,NY,,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,11/23/1998,ES-SEN-0049,CUNY Kingsborough C.C. - Lighting,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,City University of New York,Energy Efficiency,Colleges and Universities,1,1574138,338814,730.6,4035711,0,0,0,,0,9896.311,1166.216,0,2001 Oriental Blvd,,Brooklyn,NY,11235,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,11/23/1998,ES-CCN-0006,PS-71X - Coal Boiler Conversion,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,1175932,67756,0,0,0,0,0,,286,0,671.4366,0,3080 Roberts Avenue,,Bronx,NY,10461,NYPA financed and replaced coal-fired heating systems in New York City public schools with cleaner and more energy efficient heating systems fired by oil or gas.  This program was funded by POCR funds and NYPA financing.
1998,11/20/1998,ES-CMN-0004,COUNTY OF NIAGARA PHASE II,Western New York,A - West,NIAGARA,Western,"NIAGARA, COUNTY OF",,Energy Efficiency,"County, Municipal, & State Government Offices",1,62579,4559,12.23,41993,0,0,0,,0,108.55,5.637014,0,NIAGARA COUNTY PUBLIC WORKS DEPT.,59 PARK AVENUE,LOCKPORT,NY,14094,"Provided county and local government buildings throughout the state with financing and installation of energy efficient lighting, as well as motors, energy management systems, sensors, and other energy efficiency measures, as applicable. This program is now part of the Energy Services Program - Statewide."
1998,11/20/1998,PHN29P,NYCHA - PELHAM PARKWAY,New York City,J - New York City,BRONX,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,181492,15811,28.70073406,229809.6302,0,0,0,,0,565.0749,66.40901,0,2420 BRONXWOOD AVENUE,,BRONX,NY,10469,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,11/15/1998,ES-CMN-0005,COUNTY OF NIAGARA PHASE III,Western New York,A - West,NIAGARA,Western,"NIAGARA, COUNTY OF",,Energy Efficiency,"County, Municipal, & State Government Offices",1,61191,15370,27.61,124699,0,0,0,,0,312.3362,16.73922,0,NIAGARA COUNTY PUBLIC WORKS DEPT.,59 LOCKPORT,LOCKPORT,NY,14094,"Provided county and local government buildings throughout the state with financing and installation of energy efficient lighting, as well as motors, energy management systems, sensors, and other energy efficiency measures, as applicable. This program is now part of the Energy Services Program - Statewide."
1998,11/13/1998,ES-LTN-0009,Pelham School District,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,PELHAM CSD,,Energy Efficiency,"Schools, Elementary and Secondary",1,389382,67140,218.8,600582,0,0,0,,0,1472.772,173.5526,0,,,Pelham,NY,,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,11/12/1998,PHN49P,NYCHA - VANDALIA,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,115246,11873,19.93,159642,0,0,0,,0,392.4948,46.13239,0,17 VANDALIA AVENUE,,KINGS,NY,11236,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,11/10/1998,ES-SEN-0029,AMERICAN MUSEUM OF NATURAL HISTORY - Lighting,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Cultural Affairs,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,993699,173319,419.9,1772383,0,0,0,,0,4348.678,512.1726,0,Central Park West at 79th St.,,New York,NY,10024,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,11/09/1998,ES-NEN-0001,NYC Health and Hospitals - Lincoln Hospital - Boiler,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency,"Hospitals, Health, Shelters, Medical Centers",1,2374848,328817,0,0,0,0,0,,0,0,0,0,234 East 149th Street,,Bronx,NY,10451,"The scope of the project included the replacement of three high-pressure boilers with three Cleaver Brooks 750 BHP High Efficiency low pressure boilers. The boilers work with dual fuel, natural gas & No. 2 oil. The installed plant-heating capacity is 2,250 BPH. The customer benefits from this project by an increase in equipment efficiency, resulting in substantial fuel savings, and by an increase in maintenance savings due to the increased reliability of the newly installed equipment. The environmental benefits derived from this project include the reduction of emissions attained by moving from No. 6 Oil to the cleaner No.2 Oil, and the use of new low NOX Burners. These changes contribute to lower NOX & SOX emissions complying with the more stringent Clean Air requirements."
1998,11/09/1998,ES-EPN-0004,NYC Health and Hospitals - Lincoln Hospital - Chiller,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency,"Hospitals, Health, Shelters, Medical Centers",1,4452099,245612,-2544,-3725000,2029312,0,0,,0,32796.21,9701.248,0,234 East 149th Street,,Bronx,NY,10451,"The scope of the project included the replacement of 5,000 Tons of steam driven turbine chillers, with four Carrier high efficiency electric centrifugal chillers. The new capacity of the installed plant is 5,400 Tons. The customer benefits from this project by an increase in equipment efficiency, resulting in substantial fuel savings, and by an increase in maintenance savings due to the increased reliability of the newly installed equipment. The environmental benefits derived from this project include the elimination in the use of R-11 refrigerant, reducing the threat of ozone depletion."
1998,11/06/1998,PHN48P,NYCHA - BUSH TERMINAL V,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,6678,602,1.1,9043,0,0,0,,0,22.25517,2.613192,0,1805 CROTONA AVENUE - MURPHY HOUSES,,KINGS,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,11/06/1998,PHN47P,NYCHA - MARBLE HILL,New York City,J - New York City,BRONX,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,303556,27247,46.71,373805,0,0,0,,0,919.0156,108.0199,0,5220 BROADWAY,,BRONX,NY,10463,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,11/02/1998,ES-SWN-0024,ORDA - PHASE I,North Country,F - Capital,ESSEX,Northern,"State of New York (OGS, SUNY, all state agencies)",Olympic Regional Development Authority,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,1073741,107870,1170,2539156,0,0,0,,0,6566.971,340.8487,0,,,,NY,,"State-owned facilities were provided with financing and installation of energy efficient lighting, motors, energy management systems, sensors, HVAC improvements and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program (Statewide).  This program was funded through NYPA financing and utility rebates."
1998,11/01/1998,CH10854,BUFFALO CITY SCHOOLS PHASE II,Western New York,A - West,ERIE,Western,BUFFALO CITY SCHOOL,,Energy Efficiency,"Schools, Elementary and Secondary",8,1626452,127400,531.74,1086697.12,0,0,0,,0,2826.009,145.875,0,403 CITY HALL,,BUFFALO,NY,14202,"Public schools throughout the State were provided with financing and installation of energy efficient lighting, motors, energy management systems, sensors, HVAC improvements and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.   This program was funded through NYPA financing and utility rebates."
1998,11/01/1998,CH10962,BUFFALO CITY SCHOOLS PHASE III,Western New York,A - West,ERIE,Western,BUFFALO CITY SCHOOL,,Energy Efficiency,"Schools, Elementary and Secondary",17,5182403,423241,1671.93,3525343.28,0,0,0,,0,9155.639,473.2315,0,CITY HALL ROOM 403,,BUFFALO,NY,14202,"Public schools throughout the State were provided with financing and installation of energy efficient lighting, motors, energy management systems, sensors, HVAC improvements and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.   This program was funded through NYPA financing and utility rebates."
1998,10/29/1998,ES-PSN-0005,SOUTH GLENS FALLS CSD - EMS,Capital District,F - Capital,SARATOGA,Central,SOUTH GLENS FALLS CSD,,Energy Efficiency,"Schools, Elementary and Secondary",6,771891,34412,28.7,171807,0,0,0,,0,444.2776,23.06286,0,SOUTH GLENS FALLS CSD,6 BLUEBIRD ROAD,SOUTH GLENS FALLS,NY,12803,"Public schools throughout the State were provided with financing and installation of energy efficient lighting, motors, energy management systems, sensors, HVAC improvements and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.   This program was funded through NYPA financing and utility rebates."
1998,10/28/1998,ES-PSN-0002,NASSAU COUNTY COMMUNITY COLLEGE,Long Island,K - Long Island,NASSAU,Southeastern,NASSAU COUNTY COMMUNITY COLLEGE,State University of New York,Energy Efficiency,Colleges and Universities,1,3392304,726259,1417.42,6105814,0,0,0,,0,14732.89,3284.671,0,PHYSICAL PLANT,1 EDUCATION DRIVE,GARDEN CITY,NY,11530,"Public schools throughout the State were provided with financing and installation of energy efficient lighting, motors, energy management systems, sensors, HVAC improvements and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.   This program was funded through NYPA financing and utility rebates."
1998,10/23/1998,PHN46P,NYCHA - MURPHY,New York City,J - New York City,BRONX,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,112672,11550,17.9,143694,0,0,0,,0,353.1897,41.52383,0,1010 EAST 178TH STREET,,BRONX,NY,10460,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,10/22/1998,ES-CCN-0001,MABEL DEAN BACON HS - Coal Boiler Conversion,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,1053148,70000,0,0,0,0,0,,300,0,703.2504,0,127 EAST 22ND STREET,,New York,NY,10010,NYPA financed and replaced coal-fired heating systems in New York City public schools with cleaner and more energy efficient heating systems fired by oil or gas.  This program was funded by POCR funds and NYPA financing.
1998,10/22/1998,ES-CCN-0003,PS-146Q - Coal Boiler Conversion,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",1,983162,65000,0,0,0,0,0,,235,0,550.0981,0,98-01 159th Avenue,,QUEENS,NY,11414,NYPA financed and replaced coal-fired heating systems in New York City public schools with cleaner and more energy efficient heating systems fired by oil or gas.  This program was funded by POCR funds and NYPA financing.
1998,10/20/1998,PHN45P,NYCHA - CARLETON MANOR,New York City,J - New York City,QUEENS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,69006,7108,12.9,103312,0,0,0,,0,254.0554,29.85448,0,71-15 BEACH CHANNEL DRIVE,,QUEENS,NY,11692,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,10/19/1998,CH10662,FAR ROCKAWAY HS/BEACH CHANNEL HS/IS 198Q,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency,"Schools, Elementary and Secondary",3,1784508,259061,639.78,1760845,0,0,0,,0,4320.792,508.8384,0,(3 schools combined),,Queens,NY,,"Long Island schools were provided with financing and installation of energy-efficient lighting, as well as motors, energy management systems, sensors, and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.  This program was funded through NYPA financing and utility rebates."
1998,10/16/1998,ES-NCN-0017,AMERICAN MUSEUM OF NATURAL HISTORY - New Construction Rebate,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Cultural Affairs,Energy Efficiency,"Arenas, Armories, Convention Ctr, Museums, Halls",1,255480,36497,305,1036892,0,0,0,,0,2397.917,299.6348,0,Central Park West at 79th St.,,New York,NY,10024,Rebates were provided to New York City and Westchester governmental customers for installation of high efficiency lighting and motors in new facilities.  This program was funded by NYPA financing.
1998,10/16/1998,PHN44P,NYCHA - HAMMEL,New York City,J - New York City,QUEENS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,284157,29280,53.2,425575,0,0,0,,0,1046.169,122.9801,0,85-10 ROCKAWAY BEACH,,QUEENS,NY,11693,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,10/13/1998,ES-NCN-0002,NYS OMH - NY PSYCH INSTITUTE - New Construction Rebate,New York City,J - New York City,NEW YORK,Southeastern,"State of New York (OGS, SUNY, all state agencies)",NYS Office of Mental Health,Energy Efficiency,"Hospitals, Health, Shelters, Medical Centers",1,224953,31717,873.1,3262305,0,0,0,,0,7544.319,942.7213,0,,,,NY,,Rebates were provided to New York City and Westchester governmental customers for installation of high efficiency lighting and motors in new facilities.  This program was funded by NYPA financing.
1998,10/09/1998,ES-LIN-0009,PATCHOGUE MEDFORD SCHOOLS,Long Island,K - Long Island,SUFFOLK,Southeastern,PATCHOGUE SCHOOL,,Energy Efficiency,"Schools, Elementary and Secondary",12,2397014,323218,889.5,2228066,0,0,0,,0,5486.569,1198.606,0,241 South Ocean Avenue,,Patchogue,NY,11772,"Long Island schools were provided with financing and installation of energy-efficient lighting, as well as motors, energy management systems, sensors, and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program - Statewide.  This program was funded through NYPA financing and utility rebates."
1998,10/06/1998,PHN43P,NYCHA - REDFERN,New York City,J - New York City,QUEENS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,239985,24635,44.7,358070,0,0,0,,0,880.2798,103.4729,0,14-56 BEACH CHANNEL DRIVE,,QUEENS,NY,11691,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,10/05/1998,CH10422,HOUSE OF DETENTION/111 CENTRE ST.,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Dept. Of Citywide Administrative Services,Energy Efficiency,"County, Municipal, & State Government Offices",1,1055582,187207,431,2062232.6,0,0,0,,0,5059.807,595.9316,0,125 White St / 111 Centre St,,NEW YORK,NY,10013,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,10/01/1998,ES-SEN-0040,Brooklyn Public Library - Central Library - Lighting,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,New York Public Library,Energy Efficiency,Libraries,1,199221,44887,109.3,517684,0,0,0,,0,1270.21,149.5972,0,10 Grand Army Plaza,Grand Army Plaza,Brooklyn,NY,11238,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,10/01/1998,ES-CMN-0001,VILLAGE OF GARDEN CITY,Long Island,K - Long Island,NASSAU,Southeastern,"GARDEN CITY, VILLAGE OF",,Energy Efficiency,"County, Municipal, & State Government Offices",1,54953,10349,23.81,70419,0,0,0,,0,173.3483,37.88247,0,GARDEN CITY VILLAGE HALL,351 STEWART AVENUE,GARDEN CITY,NY,11530,"Provided county and local government buildings throughout the state with financing and installation of energy efficient lighting, as well as motors, energy management systems, sensors, and other energy efficiency measures, as applicable. This program is now part of the Energy Services Program - Statewide."
1998,09/29/1998,ES-SEN-0030,Port Authority - World Trade Center Ph.II,New York City,J - New York City,NEW YORK,Southeastern,PORT AUTHORITY OF NY AND NJ,Port Authority of NY & NJ,Energy Efficiency,"County, Municipal, & State Government Offices",1,1756180,211993,493.4,3795197,0,0,0,,0,9077.881,1096.713,0,,,,NY,,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,09/25/1998,PHN42P,NYCHA - ARVERNE HOUSES,New York City,J - New York City,QUEENS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,166538,17164,31.2,249475,0,0,0,,0,613.2419,72.09179,0,434 BEACH 54 STREET,,QUEENS,NY,11692,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,09/24/1998,ES-SEN-0034,QUEENS CENTRAL LIBRARY - MOTORS,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,New York Public Library,Energy Efficiency,Libraries,1,32381,4566,12,46010,0,0,0,,0,112.8845,13.29569,0,89-11 MERRICK BLVD.,,JAMAICA,NY,11432,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,09/23/1998,ES-SEN-0046,"CUNY BARUCH COLLEGE - MOTORS, SENSORS & DRIVES",New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,City University of New York,Energy Efficiency,Colleges and Universities,1,591005,88706,44.1,1822846,0,0,0,,0,4472.454,526.7551,0,135 E. 22nd St.,,New York,NY,10010,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,09/18/1998,PHN39P,NYCHA - BUSH TERMINAL IV,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,69331,6040,10.96381348,87788.34428,0,0,0,,0,215.9489,25.36855,0,,,,NY,,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,09/18/1998,PHN38P,NYCHA - BUSHWICK II (SITES A-E),New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,342978,29879,54.23789463,434288.2131,0,0,0,,0,1067.936,125.498,0,372 BUSHWICK AVENUE,,KINGS,NY,11237,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,09/18/1998,PHN40P,NYCHA - DOUGLASS,New York City,J - New York City,NEW YORK,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,7420,646,1.173339342,9395.044731,0,0,0,,0,23.09245,2.714924,0,880 COLUMBUS AVENUE,,NEW YORK,NY,10025,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,09/18/1998,PHN41P,NYCHA - LINCOLN,New York City,J - New York City,NEW YORK,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,24114,2101,3.813352862,30533.89538,0,0,0,,0,75.05048,8.823502,0,2142 MADISON AVENUE,,NEW YORK,NY,10037,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,09/15/1998,ES-SWN-0003,SUNY COLLEGE AT BUFFALO - PHASE III,Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency,Colleges and Universities,1,1169760,163511,221.89,1276424,0,0,0,,0,3022.171,171.3433,0,1300 ELMWOOD AVE,,BUFFALO,NY,14222,"State-owned facilities were provided with financing and installation of energy efficient lighting, motors, energy management systems, sensors, HVAC improvements and other energy efficiency measures, as applicable.  This program is now part of the Energy Services Program (Statewide).  This program was funded through NYPA financing and utility rebates."
1998,09/04/1998,PHN37P,NYCHA - BREUKELEN,New York City,J - New York City,KINGS,Southeastern,NYCHA - NY City Housing Authority,NYC Housing Authority,Energy Efficiency,Public Housing Projects,1,609675,53113,96.41275727,771986.53,0,0,0,,0,1898.458,223.084,0,618 EAST 108TH STREET,,KINGS,NY,11236,Old refrigerators were replaced in New York City Housing Authority buildings with new units using half the energy and a more environmentally benign refrigerant.  This program was funded through NYPA financing.
1998,09/01/1998,ES-SEN-0045,CUNY HUNTER COLLEGE - MOTORS & SENSORS,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,City University of New York,Energy Efficiency,Colleges and Universities,1,883011,118075,103.7,2370559,0,0,0,,0,5816.431,685.0299,0,926 LEX.AVE.(HUNTER COLL),,NEW YORK,NY,10021,"Provided New York City and Westchester governmental customers with financing and installation of energy-efficient lighting, as well as motors, energy management systems and sensors, and other energy efficiency measures, as applicable.  This program is now being offered under the Governmental Customers Energy Services Program. This program was funded through NYPA financing."
1998,08/31/1998,CH10894,CUNY JOHN JAY COLLEGE NORTH HALL - Steam Traps,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,City University of New York,Energy Efficiency,Colleges and Universities,1,146803,0,0,0,0,0,0,,0,0,0,0,445 W 59TH STREET JOHN JAY COLLEGE,,New York,NY,10019,Rebates were provided to SENY customers for the conversion of steam-powered central air-conditioning systems to electric.  This program was funded through NYPA financing.
1998,08/25/1998,ES-NCN-0005,NYC DEP - GOWANUS FLUSHING TUNNEL - New Construction Rebate,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Environmental Protection,Energy Efficiency,"Sewage Treatment, Landfill, and Water Supply Facilities",1,70875,10125,0,1257236,0,0,0,,0,2907.476,363.3085,0,,,Brooklyn,NY,,Rebates were provided to New York City and Westchester governmental customers for installation of high efficiency lighting and motors in new facilities.  This program was funded by NYPA financing.
